date, pm25, pm10, no2, so2, co
2018/2/7, 16, 11, , , 2
2018/2/8, 18, 13, , , 3
2018/2/9, 21, 11, , , 3
2018/2/10, 24, 8, , , 3
2018/2/11, 15, 8, , , 3
2018/2/12, 20, 11, , , 3
2018/2/13, 23, 9, , , 3
2018/2/14, 21, 9, , , 11
2018/2/15, 18, 17, , , 3
2018/2/16, 21, 12, , , 3
2018/2/17, 22, 12, , , 2
2018/2/18, 21, 11, , , 2
2018/2/19, 19, 6, , , 3
2018/2/20, 17, 4, , , 2
2018/2/21, 11, 6, , , 2
2018/2/22, 12, 8, , , 3
2018/2/23, 19, 10, , , 3
2018/2/24, 21, 6, , , 3
2018/2/25, 19, 10, , , 2
2018/2/26, 24, 8, , , 3
2018/2/27, 15, 6, , , 3
2018/2/28, 7, 13, , , 3
2018/3/1, 16, 17, , , 3
2018/3/2, 32, 18, , , 3
2018/3/3, 23, 19, , , 3
2018/3/4, 25, 17, , , 3
2018/3/5, 25, 7, , , 3
2018/3/6, 12, 11, , , 3
2018/3/7, 18, 9, , , 3
