date, pm25, pm10, o3, so2, co
2017/10/25, , 26, , , 
2017/10/26, , 30, , , 
2017/10/27, , 25, , , 
2017/10/28, , 29, , , 
2017/10/29, , 25, , , 
2017/10/30, , 37, , , 
2017/10/31, , 27, , , 
2017/11/1, , 29, , , 
2017/11/2, , 34, , , 
2017/11/3, , 22, , , 
2017/11/4, , 8, , , 
2017/11/5, , 9, , , 
2017/11/6, , 9, , , 
2017/11/7, , 15, , , 
2017/11/8, , 15, , , 
2017/11/9, , 20, , , 
2017/11/10, , 14, , , 
2017/11/11, , 11, , , 
2017/11/12, , 12, , , 
2017/11/13, , 24, , , 
2017/11/14, , 9, , , 
2017/11/15, , 15, , , 
2017/11/16, , 9, , , 
2017/11/17, , 15, , , 
2017/11/18, , 20, , , 
2017/11/19, , 17, , , 
2017/11/20, , 16, , , 
2017/11/21, , 20, , , 
2017/11/22, , 25, , , 
2017/11/23, , 19, , , 
2017/11/24, , 7, , , 
2017/11/25, , 20, , , 
2017/11/26, , 22, , , 
2017/11/27, , 14, , , 
2017/11/28, , 20, , , 
2017/11/29, , 20, , , 
2017/11/30, , 23, , , 
2017/12/1, , 36, , , 
2017/12/2, , 25, , , 
2017/12/3, , 10, , , 
2017/12/4, , 11, , , 
2017/12/5, , 21, , , 
2017/12/6, , 22, , , 
2017/12/7, , 23, , , 
2017/12/8, , 18, , , 
2017/12/9, , 9, , , 
2017/12/10, , 8, , , 
2017/12/11, , 10, , , 
2017/12/12, , 10, , , 
2017/12/13, , 11, , , 
2017/12/14, , 12, , , 
2017/12/15, , 9, , , 
2017/12/16, , 6, , , 
2017/12/17, , 9, , , 
2017/12/18, , 18, , , 
2017/12/19, , 22, , , 
2017/12/20, , 9, , , 
2017/12/21, , 10, , , 
2017/12/22, , 15, , , 
2017/12/23, , 8, , , 
2017/12/24, , 11, , , 
2017/12/25, , 11, , , 
2017/12/26, , 12, , , 
2017/12/27, , 16, , , 
2017/12/28, , 19, , , 
2017/12/29, , 29, , , 
2017/12/30, , 15, , , 
2017/12/31, , 11, , , 
2017/7/1, , 27, , , 
2017/7/2, , 27, , , 
2017/7/3, , 23, , , 
2017/7/4, , 26, , , 
2017/7/5, , 39, , , 
2017/7/6, , 27, , , 
2017/7/7, , 29, , , 
2017/7/8, , 32, , , 
2017/7/9, , 39, , , 
2017/7/10, , 32, , , 
2017/7/11, , 17, , , 
2017/7/12, , 22, , , 
2017/7/13, , 23, , , 
2017/7/14, , 37, , , 
2017/7/15, , 26, , , 
2017/7/16, , 23, , , 
2017/7/17, , 24, , , 
2017/7/18, , 30, , , 
2017/7/19, , 28, , , 
2017/7/20, , 29, , , 
2017/7/21, , 32, , , 
2017/7/22, , 25, , , 
2017/7/23, , 24, , , 
2017/7/24, , 33, , , 
2017/7/25, , 38, , , 
2017/7/26, , 28, , , 
2017/7/27, , 28, , , 
2017/7/28, , 37, , , 
2017/7/29, , 33, , , 
