date, pm10, no2, so2
2017/5/27, 9, 3, 
2017/5/28, 8, 3, 
2017/5/29, 13, 5, 
2017/5/30, 15, 2, 
2017/5/31, 13, 3, 
2017/6/1, 10, 7, 
2017/6/2, 10, 6, 
2017/6/3, 12, 4, 
2017/6/4, 21, 3, 
2017/6/5, 8, 4, 
2017/6/6, 9, 2, 3
2017/6/7, 9, 4, 1
2017/6/8, 10, 4, 1
2017/6/9, 10, 2, 
2017/6/10, 10, 3, 1
2017/6/11, 13, 2, 
2017/6/12, 11, 2, 
2017/6/13, 9, 2, 
2017/6/14, 9, 4, 
2017/6/16, 14, 1, 
2017/6/17, 10, 2, 
2017/6/18, 11, 5, 
2017/6/19, 9, 6, 
2017/6/20, 16, 4, 
2017/6/21, 10, 5, 
2017/6/22, 11, 2, 
2017/6/23, 19, 2, 
2017/6/24, 14, 2, 1
2017/6/25, 10, 2, 
2017/6/26, 8, 4, 
2017/6/27, 10, 5, 
2017/6/28, 14, 4, 
2017/6/29, 21, 2, 
2017/6/30, 9, 2, 1
2017/1/2, 23, 2, 
2017/1/3, 6, 2, 
2017/1/4, 7, 5, 
2017/1/5, 8, 10, 
2017/1/6, 9, 9, 
2017/1/7, 14, 9, 
2017/1/8, 18, 8, 
2017/1/9, 14, 8, 
2017/1/10, 13, 6, 
2017/1/11, 14, 4, 
2017/1/12, 9, 7, 
2017/1/13, 10, 4, 
2017/1/14, 9, 7, 
2017/1/15, 6, 16, 
2017/1/16, 13, 18, 
2017/1/17, 18, 18, 
2017/1/18, 32, 19, 
2017/1/19, 33, 21, 
2017/1/20, 26, 17, 
2017/1/21, 31, 8, 
2017/1/22, 19, 13, 
2017/1/23, 32, 14, 
2017/1/24, 44, 15, 
2017/1/25, 40, 11, 
2017/1/26, 31, 14, 
2017/1/27, 23, 18, 
2017/1/28, 32, 12, 
2017/1/29, 35, 18, 
2017/1/30, 22, 15, 
2017/1/31, 31, 8, 
2017/2/1, 38, 12, 
2017/2/2, 19, 14, 
2017/2/3, 21, 13, 
2017/2/4, 16, 12, 
2017/2/5, 18, 11, 
2017/2/6, 22, 5, 
2017/2/7, 15, 7, 
2017/2/8, 15, 9, 
2017/2/9, 23, 16, 
2017/2/10, 40, 14, 
2017/2/11, 48, 11, 
2017/2/12, 36, 19, 
2017/2/13, 48, 15, 
2017/2/14, 54, 18, 
2017/2/15, 49, 16, 
2017/2/16, 46, 6, 
2017/2/17, 21, 5, 
2017/2/18, 9, 8, 
2017/2/19, 19, 5, 
2017/2/20, 19, 4, 
2017/2/21, 9, 4, 
2017/2/22, 10, 4, 
2017/2/23, 7, 4, 
2017/2/24, 5, 6, 
2017/2/25, 9, 4, 
2017/2/26, 12, 4, 
2017/2/27, 8, 3, 
2017/2/28, 4, 6, 
2017/3/1, 10, 5, 
2017/3/2, 9, 6, 
2017/3/3, 7, 11, 
2017/3/4, 10, 5, 
2017/3/5, 13, 11, 
2017/3/6, 9, 5, 
2017/3/7, 13, 6, 
2017/3/8, 13, 5, 
2017/3/9, 11, 3, 
2017/3/10, 10, 5, 
2017/3/11, 14, 3, 
2017/3/12, 11, 8, 
2017/3/13, 16, 4, 
