date, pm25, pm10, o3, no2, co
2017/11/5, 53, 18, 12, 19, 
2017/11/6, 55, 8, 20, 10, 
2017/11/7, 21, 11, 14, 20, 
2017/11/8, 31, 13, 9, 21, 
2017/11/9, 39, 9, 23, 14, 
2017/11/10, 22, 7, 17, 16, 
2017/11/11, 24, 4, 24, 8, 
2017/11/12, 14, 8, 15, 17, 
2017/11/13, 23, 11, 13, 16, 
2017/11/14, 28, 11, 10, 18, 
2017/11/15, 41, 11, 19, 17, 
2017/11/16, 35, 21, 13, 26, 
2017/11/17, 54, 11, 12, 17, 
2017/11/18, 33, 11, 16, 19, 
2017/11/19, 31, 8, 17, 11, 
2017/11/20, 24, 11, 19, 8, 
2017/11/21, 28, 15, 25, 6, 
2017/11/22, 40, 7, 24, 8, 
2017/11/23, 14, 18, 10, 25, 
2017/11/24, 50, 11, 16, 18, 
2017/11/25, 35, 9, 17, 15, 
2017/11/26, 24, 5, 20, 12, 
2017/11/27, 12, 6, 18, 15, 
2017/11/28, 19, 7, 16, 14, 
2017/11/29, 20, 6, 20, 13, 
2017/11/30, 22, 9, 20, 15, 
2017/12/1, 27, 14, 7, 22, 
2017/12/2, 50, 8, 16, 15, 
2017/12/3, 28, 10, 14, 22, 
2017/12/4, 27, 8, 14, 16, 
2017/12/5, 30, 8, 21, 12, 
2017/12/6, 23, 10, 21, 12, 
2017/12/7, 25, 4, 21, 15, 
2017/12/8, 14, 9, 15, 21, 
2017/12/9, 30, 10, 16, 21, 
2017/12/10, 34, 6, 18, 18, 
2017/12/11, 28, 13, 9, 24, 
2017/12/12, 48, 8, 21, 14, 
2017/12/13, 17, 5, 23, 13, 
2017/12/14, 14, 5, 18, 14, 
2017/12/15, 19, 7, 13, 17, 
2017/12/16, 22, 9, 13, 16, 
2017/12/17, 33, 19, 14, 26, 
2017/12/18, 47, 22, 1, 24, 
2017/12/19, 65, 12, 9, 17, 
2017/12/20, 41, 9, 15, 13, 
