date, pm25, pm10, o3, so2
2018/3/5, 21, 21, 38, 
2018/3/6, 8, 19, 35, 
2018/3/7, 20, 22, 36, 
2018/3/8, 32, 22, 38, 1
2018/3/9, 27, 17, 31, 1
2018/3/10, 31, 9, 31, 
2018/3/11, 26, 10, 32, 
2018/3/12, 24, 18, 12, 
2018/3/13, 46, 24, 36, 
2018/3/14, 43, 26, 48, 1
2018/3/15, 46, 22, 38, 1
2018/3/16, 30, 23, 34, 
2018/3/17, 46, 13, 30, 1
2018/3/18, 35, 31, 44, 1
2018/3/19, 28, 15, 35, 
2018/3/20, 17, 16, 39, 
2018/3/21, 27, 28, 44, 1
2018/3/22, 46, 23, 43, 
2018/3/23, 30, 15, 34, 
2018/3/24, 23, 24, 22, 
2018/3/25, 46, 21, 35, 
2018/3/26, 36, 31, 37, 
2018/3/27, 34, 5, 34, 
2018/3/28, 15, 9, 39, 
2018/3/29, 14, 8, 35, 
2018/3/30, 15, 12, 41, 
2018/3/31, 21, 14, 40, 
2017/10/1, 45, 12, 25, 
2017/10/2, 36, 13, 24, 
2017/10/3, 30, 15, 32, 
2017/10/4, 30, 18, 34, 
2017/10/5, 37, 18, 27, 1
2017/10/6, 42, 13, 30, 1
2017/10/7, 42, 18, 39, 1
2017/10/8, 64, 13, 36, 1
2017/10/9, 51, 19, 32, 1
2017/10/10, 50, 14, 31, 
2017/10/11, 13, 18, 40, 
2017/10/12, 30, 21, 45, 1
2017/10/13, 44, 16, 41, 1
2017/10/14, 45, 10, 24, 1
2017/10/15, 26, 10, 32, 
2017/10/16, 16, 19, 41, 
2017/10/17, 41, 22, 45, 1
2017/10/18, 42, 21, 46, 1
2017/10/19, 45, 19, 29, 1
2017/10/20, 42, 12, 27, 
2017/10/21, 22, 5, 33, 
2017/10/22, 9, 48, 37, 
2017/10/23, 21, 16, 34, 
2017/10/24, 10, 17, 35, 
2017/10/25, 18, 19, 45, 1
2017/10/26, 19, 20, 26, 
2017/10/27, 22, 12, 32, 
2017/10/28, 9, 13, 38, 1
2017/10/29, 28, 12, 40, 
2017/10/30, 22, 14, 24, 
2017/10/31, 22, 8, 17, 
2017/11/1, 25, , , 
2017/11/3, 46, 11, 23, 
2017/11/4, 32, 10, 21, 
2017/11/5, 28, 12, 24, 
2017/11/6, 27, 16, 15, 
2017/11/7, 39, 9, 10, 
2017/11/8, 21, 10, 27, 
2017/11/9, 25, 12, 35, 
2017/11/10, 28, 16, 31, 
2017/11/11, 34, 16, 23, 1
2017/11/12, 42, 16, 23, 
2017/11/13, 38, 17, 27, 
2017/11/14, 37, 20, 29, 1
2017/11/15, 50, 26, 26, 1
2017/11/16, 65, 14, 29, 
2017/11/17, 32, 12, 28, 1
2017/11/18, 10, 7, 30, 
2017/11/19, 15, 16, 30, 1
2017/11/20, 32, 16, 26, 1
2017/11/21, 35, , 29, 
2017/11/22, 21, 15, 31, 
2017/11/23, 26, 18, 20, 1
2017/11/24, 39, 15, 41, 1
2017/11/25, 39, 13, 32, 
2017/11/26, 23, 13, 31, 1
2017/11/27, 28, 16, 36, 1
2017/11/28, 31, 21, 28, 
2017/11/29, 44, 19, 34, 
2017/11/30, 32, 24, 33, 1
2017/12/1, 42, 32, 36, 1
2017/12/2, 67, 26, 38, 2
2017/12/3, 58, 18, 27, 1
2017/12/4, 40, 7, 22, 
2017/12/5, 8, 9, 20, 
2017/12/6, 11, 12, , 
